Target gene (OFFICIAL_GENE_NAME)	TF (OFFICIAL_TF_CODING_GENE_NAME)	REFERENCES	SPECIES	ACCESSION #S
ANDPRO	AR	TRED	Rattus norvegicus	
AVP	AR	TRED	Homo sapiens	
C4A	AR	TRED	Mus musculus	
CA3	AR	Pubmed	Rattus norvegicus	6411140;11817565;
CALR	AR	Pubmed	Rattus norvegicus	11817565;
CAV1	AR	TRED	Mus musculus	
CDC6	AR	Pubmed	Homo sapiens;	18541154;
CDH2	AR	Pubmed	Homo sapiens;	17297473;
CFLAR	AR	Pubmed	Mus musculus;	16720717;
CHRM1	AR	Pubmed	Homo sapiens;	17624924;
DBI	AR	Pubmed	Homo sapiens;	8634149;
DCAF6	AR	Pubmed	Homo sapiens;	17984071;
DDT	AR	Pubmed	Homo sapiens;	17553165;
DHX15	AR	Pubmed	Homo sapiens;	11867260;
F9	AR	TRED	Homo sapiens	
FASN	AR	Pubmed	Homo sapiens;	15048993;
FKBP5	AR	Pubmed	Homo sapiens;	19433513;11867260;16210365;
FOS	AR	Pubmed	Homo sapiens;	14614224;
FOXA1	AR	TRED	Homo sapiens	
GSTP1	AR	TRED	Mus musculus	
GSTT2	AR	Pubmed	Homo sapiens;	17553165;
HIGD1A	AR	Pubmed	Homo sapiens;	11867260;
HSP90AA1	AR	Pubmed	Homo sapiens;	11867260;
IFNAR1	AR	TRED	Homo sapiens	
IGFBP5	AR	TRED	Homo sapiens	
IL6ST	AR	TRED	Homo sapiens	
JUN	AR	Pubmed	Homo sapiens;	14614224;
KIAA1217	AR	Pubmed	Homo sapiens;	17624924;
KLK2	AR	Pubmed	Homo sapiens;	1370633;7686046;
KLK3	AR	Pubmed	Homo sapiens;	7686046;11867260;17426252;17426252;
KLK4	AR	Pubmed	Homo sapiens;	10077646;
KRT18	AR	Pubmed	Homo sapiens;	11867260;
LHB	AR	Pubmed	Homo sapiens;	11518799;
MAOA	AR	pazar	Homo sapiens	
MT2A	AR	Pubmed	Rattus norvegicus	11191077;
NCOA2	AR	Pubmed	Homo sapiens;	17079484;
OAT	AR	Pubmed	Homo sapiens;	17553165;
PFKFB1	AR	Pubmed	Rattus norvegicus	168;
PGC	AR	Pubmed	Homo sapiens;	8663058;
PIGR	AR	TRED	Homo sapiens	
PMEPA1	AR	Pubmed	Homo sapiens;	10873380;17553164;
PNRC1	AR	TRED	Homo sapiens	
PRKCD	AR	Pubmed	Homo sapiens;	17553165;
PSAP	AR	Pubmed	Homo sapiens;	17171640;
PYCR1	AR	Pubmed	Homo sapiens;	17553165;
RARA	AR	TRED	Homo sapiens	
RUNX2	AR	Pubmed	Homo sapiens;	19389811;
SCAP	AR	Pubmed	Homo sapiens;	15133039;
SCNN1A	AR	Pubmed	Mus musculus;	16172422;
SLC22A2	AR	Pubmed	Rattus norvegicus	16550473;
SMS	AR	Pubmed	Homo sapiens;	15048993;
SNAI1	AR	Pubmed	Homo sapiens;	16541421;
SNAI2	AR	Pubmed	Homo sapiens;	16541421;
SRD5A2	AR	TRED	Mus musculus	
SREBF1	AR	Pubmed	Homo sapiens;	16541421;
SREBF2	AR	Pubmed	Homo sapiens;	16541421;
TRPV3	AR	Pubmed	Homo sapiens;	17553165;
UGT1A3	AR	Pubmed	Homo sapiens	18677463;
UGT1A	AR	Pubmed	Homo sapiens;	17297473;
WBSCR28	AR	Pubmed	Homo sapiens;	17624924;
IGH-VJ558	ARID3B	pazar	Mus musculus	
BHLHB2	ARNT	TRED	Homo sapiens	
CYP1A1	ARNT	TRED	Rattus norvegicus	
LEP	ARNT	TRED	Homo sapiens	
SENP2	ARNT	TRED	Mus musculus	
SUMO1	ARNT	TRED	Mus musculus	
TFRC	ARNT	TRED	Homo sapiens	
EBF3	ARX	pazar	Mus musculus	
LMO1	ARX	pazar	Mus musculus	
SHOX2	ARX	pazar	Mus musculus	
AQP3	ATF1	TRED	Homo sapiens	
BCL2	ATF1	TRED	Homo sapiens	
BRCA1	ATF1	TRED	Homo sapiens	
CALCA	ATF1	TRED	Homo sapiens	
CCL5	ATF1	TRED	Homo sapiens	
