#name_compExTRI	HGNC_update	category	TCF2	name_TCF2	Entry_TCF2
ALX1		DbTF	TCF2	ALX1	Q15699
ALX3		DbTF	TCF2	ALX3	O95076
ALX4		DbTF	TCF2	ALX4	Q9H161
AP1		DbTF			
AR		DbTF	TCF2	AR	P10275
ARNT		DbTF	TCF2	ARNT	P27540
ARNT2		DbTF	TCF2	ARNT2	Q9HBZ2
ARNTL		DbTF	TCF2	ARNTL	O00327
ARNTL2		DbTF	TCF2	ARNTL2	Q8WYA1
ARX		DbTF	TCF2	ARX	Q96QS3
ASCL1		DbTF	TCF2	ASCL1	P50553
ASCL2		DbTF	TCF2	ASCL2	Q99929
ASCL3		DbTF	TCF2	ASCL3	Q9NQ33
ASCL4		DbTF	TCF2	ASCL4	Q6XD76
ATF1		DbTF	TCF2	ATF1	P18846
ATF2		DbTF	TCF2	ATF2	P15336
ATF3		DbTF	TCF2	ATF3	P18847
ATF4		DbTF	TCF2	ATF4	P18848
ATF5		DbTF	TCF2	ATF5	Q9Y2D1
ATF6		DbTF	TCF2	ATF6	P18850
ATF6B		DbTF	TCF2	ATF6B	Q99941
ATF7		DbTF	TCF2	ATF7	P17544
ATOH1		DbTF	TCF2	ATOH1	Q92858
ATOH7		DbTF	TCF2	ATOH7	Q8N100
ATOH8		DbTF	TCF2	ATOH8	Q96SQ7
BACH1		DbTF	TCF2	BACH1	O14867
BACH2		DbTF	TCF2	BACH2	Q9BYV9
BARHL1		DbTF	TCF2	BARHL1	Q9BZE3
BARHL2		DbTF	TCF2	BARHL2	Q9NY43
BARX1		DbTF	TCF2	BARX1	Q9HBU1
BARX2		DbTF	TCF2	BARX2	Q9UMQ3
BATF		DbTF	TCF2	BATF	Q16520
BATF2		DbTF	TCF2	BATF2	Q8N1L9
BATF3		DbTF	TCF2	BATF3	Q9NR55
BBX		DbTF	TCF2	BBX	Q8WY36
BCL11A		DbTF	TCF2	BCL11A	Q9H165
BCL11B		DbTF	TCF2	BCL11B	Q9C0K0
BCL6		DbTF	TCF2	BCL6	P41182
BCL6B		DbTF	TCF2	BCL6B	Q8N143
BHLHA15		DbTF	TCF2	BHLHA15	Q7RTS1
BHLHE22		DbTF	TCF2	BHLHE22	Q8NFJ8
BHLHE23		DbTF	TCF2	BHLHE23	Q8NDY6
BHLHE40		DbTF	TCF2	BHLHE40	O14503
BHLHE41		DbTF	TCF2	BHLHE41	Q9C0J9
BNC1		DbTF	TCF2	BNC1	Q01954
BSX		DbTF	TCF2	BSX	Q3C1V8
CARF		DbTF	TCF2	CARF	Q8N187
CASZ1		DbTF	TCF2	CASZ1	Q86V15
CC2D1A		DbTF	TCF2	CC2D1A	Q6P1N0
CDC5L		DbTF	TCF2	CDC5L	Q99459
CDX1		DbTF	TCF2	CDX1	P47902
CDX2		DbTF	TCF2	CDX2	Q99626
CDX4		DbTF	TCF2	CDX4	O14627
CEBPA		DbTF	TCF2	CEBPA	P49715
CEBPB		DbTF	TCF2	CEBPB	P17676
CEBPD		DbTF	TCF2	CEBPD	P49716
CEBPE		DbTF	TCF2	CEBPE	Q15744
CEBPG		DbTF	TCF2	CEBPG	P53567
CIC		DbTF	TCF2	CIC	Q96RK0
CLOCK		DbTF	TCF2	CLOCK	O15516
CREB1		DbTF	TCF2	CREB1	P16220
CREB3		DbTF	TCF2	CREB3	O43889
CREB3L1		DbTF	TCF2	CREB3L1	Q96BA8
CREB3L2		DbTF	TCF2	CREB3L2	Q70SY1
CREB3L3		DbTF	TCF2	CREB3L3	Q68CJ9
CREB3L4		DbTF	TCF2	CREB3L4	Q8TEY5
CREB5		DbTF	TCF2	CREB5	Q02930
CREBRF		DbTF	TCF2	CREBRF	Q8IUR6
CREBZF		DbTF	TCF2	CREBZF	Q9NS37
CREM		DbTF	TCF2	CREM	Q03060
CRX		DbTF	TCF2	CRX	O43186
CTCF		DbTF	TCF2	CTCF	P49711
CTCFL		DbTF	TCF2	CTCFL	Q8NI51
CUX1		DbTF	TCF2	CUX1	P39880
CUX2		DbTF	TCF2	CUX2	O14529
DACH1		DbTF	TCF2	DACH1	Q9UI36
DACH2		DbTF	TCF2	DACH2	Q96NX9
DBP		DbTF	TCF2	DBP	Q10586
DBX1		DbTF	TCF2	DBX1	A6NMT0
DDIT3		DbTF	TCF2	DDIT3	P35638
DEAF1		DbTF	TCF2	DEAF1	O75398
DLX1		DbTF	TCF2	DLX1	P56177
DLX2		DbTF	TCF2	DLX2	Q07687
DLX3		DbTF	TCF2	DLX3	O60479
DLX4		DbTF	TCF2	DLX4	Q92988
DLX5		DbTF	TCF2	DLX5	P56178
DLX6		DbTF	TCF2	DLX6	P56179
DMBX1		DbTF	TCF2	DMBX1	Q8NFW5
DMRT1		DbTF	TCF2	DMRT1	Q9Y5R6
DMRT3		DbTF	TCF2	DMRT3	Q9NQL9
DMRTA1		DbTF	TCF2	DMRTA1	Q5VZB9
DMRTA2		DbTF	TCF2	DMRTA2	Q96SC8
DMTF1		DbTF	TCF2	DMTF1	Q9Y222
