#: :filename=/home/mvazque2/.rbbt/tmp/tmp-58477351.Sheet1#:type=:single
#original (Associated Gene Name)	AL_good
ACPP	ACP3
ADSS	ADSS2
ADSSL1	ADSS1
AES	TLE5
AIM1	CRYBG1
ALG1L	ALG1L1P
ALPPL2	ALPG
ARNTL	BMAL1
ARNTL2	BMAL2
ATP5A1	ATP5F1A
ATP5B	ATP5F1B
ATP5H	ATP5PD
ATP5S	DMAC2L
ATPIF1	ATP5IF1
BHLHB9	GPRASP3
BRE	BABAM2
C10orf10	DEPP1
C10orf11	LRMDA
C10orf2	TWNK
C11orf31	SELENOH
C1orf61	MIR9-1HG
C21orf2	CFAP410
C2orf40	ECRG4
C9orf116	PIERCE1
CARS	CARS1
CCAT1	CCAT1
COL4A3BP	CERT1
CTGF	CCN2
CYR61	CCN1
DDX58	RIGI
DEC1	DELEC1
DEFB131	DEFB131A
DFNA5	GSDME
DIEXF	UTP25
DYX1C1	DNAAF4
EPRS	EPRS1
ERVK-11	ERVK-11
ERVK-6	ERVK-6
ERVW-4	ERVW-4
FAM126A	HYCC1
FAM132A	C1QTNF12
FAM134C	RETREG3
FAM169B	FAM169BP
FAM189A2	ENTREP1
FAM213A	PRXL2A
FAM214B	ATOSB
FAM57A	TLCD3A
FAM57B	TLCD3B
FAM84A	LRATD1
FCGR1B	FCGR1BP
FSHMD1A	FSHMD1A
FTH1P18	FTHL18P
FUSE	FUSE
FYB	FYB1
G6PC	G6PC1
GAGE7	GAGE7
GBA	GBA1
GBAS	NIPSNAP2
GGTA1P	GGTA1
GIF	CBLIF
GPR1	CMKLR2
GUCY1A3	GUCY1A1
GUCY1B3	GUCY1B1
H1F0	H1-0
H2AFV	H2AZ2
H2AFX	H2AX
H2AFZ	H2AZ1
H3F3A	H3-3A
H3F3B	H3-3B
HFE2	HJV
HIF1A-AS2	HIF1A-AS2
HIST1H1B	H1-5
HIST1H1C	H1-2
HIST1H1E	H1-4
HIST1H1T	H1-6
HIST1H2AB	H2AC4
HIST1H2AD	H2AC7
HIST1H2AE	H2AC8
HIST1H2AG	H2AC11
HIST1H2AM	H2AC17
HIST1H2BF	H2BC7
HIST1H2BJ	H2BC11
HIST1H3A	H3C1
HIST1H3B	H3C2
HIST1H4B	H4C2
HIST1H4D	H4C4
HIST1H4H	H4C8
HIST1H4J	H4C11
HIST1H4L	H4C13
HIST2H2AA3	H2AC21
HIST2H2AB	H2BC21
HIST2H2BE	H2AC18
HIST2H3C	H3C14
HIST2H4A	H4C14
HKR1	ZNF875
HN1	JPT1
HOXA@	HOXA@
HPV18I2	HPV18I2
HRASLS	PLAAT1
HSP90AA2	HSP90AA2P
IARS	IARS1
IFN1@	IFN1@
IGH	IGH
IGK	IGK
IGLL2P	IGLL2P
IKBKAP	ELP1
KIAA0101	KIFBP
KIAA0922	PCLAF
KIAA1524	TMEM131L
KIF1BP	CIP2A
KLRAP1	KLRA1P
LARS	LARS1
LECT1	CNMD
LHFP	LHFPL6
LINC00478	MIR99AHG
LOR	LORICRIN
MARCH7	MARCHF7
MARS	MARS1
MGEA5	OGA
MINA	RIOX2
MKL1	MRTFA
MRE11A	MRE11
MRVI1	IRAG1
MSBP1	MSBP1
MUT	MMUT
MYLPF	MYL11
NARS	NARS1
NFY	NFYA
NOTCH2NL	NOTCH2NLA
NOV	CCN3
NR1I4	NR1I4
OFC3	OFC3
PAPD7	TENT4A
PARK2	PRKN
PHB	PHB1
PLA2G16	PLAAT3
PPP1R2P9	PPP1R2C
PTRF	CAVIN1
RARRES3	PLAAT4
RARS	RARS1
RFWD2	COP1
RN5S1@	RN5S1@
RNR3	RNR3
SDPR	CAVIN2
SEPP1	SELENOP
SEPT7	SEPTIN7
SEPT9	SEPTIN9
SEPW1	SELENOW
SKIV2L	SKIC2
SNHG23	MEG8
SPG20	SPART
SSFA2	ITPRID2
SSPO	SSPOP
ST5	DENND2B
STRA13	CENPX
T	TBXT
TAZ	TAFAZZIN
TCEB3C	ELOA3P
TMEM173	STING1
TMEM27	CLTRN
TMEM5	RXYLT1
TRB	TRB
TRNAI1	TRI-AAT9-1
TRNAU1	TRU-TCA1-1
TUSC5	TRARG1
TWISTNB	POLR1F
UHRF1BP1	BLTP3A
VARS	VARS1
VIMP	SELENOS
WARS	WARS1
WBSCR28	TMEM270
WDR61	SKIC8
WHSC1	NSD2
WHSC1L1	NSD3
WISP1	CCN4
WISP2	CCN5
WISP3	CCN6
ZNRD1	POLR1H
