source,target,source_genesymbol,target_genesymbol,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,sources,references,curation_effort,dorothea_level,n_references,n_resources
P35869,P04798,AHR,CYP1A1,1,1,0,1,1,0,DoRothEA;HOCOMOCO_DoRothEA;HTRIdb;HTRIdb_DoRothEA;SIGNOR;TRRUST_DoRothEA,HTRIdb:10359656;HTRIdb:16972788;HTRIdb:17785579;HTRIdb:9698073;SIGNOR:17012224;SIGNOR:9865727,6,A,6,3
P35869,P05177,AHR,CYP1A2,1,0,0,0,0,0,DoRothEA;HTRIdb;HTRIdb_DoRothEA;TRRUST_DoRothEA,HTRIdb:17785579,1,A,1,2
P35869,Q16678,AHR,CYP1B1,1,1,0,1,1,0,DoRothEA;HOCOMOCO_DoRothEA;HTRIdb;HTRIdb_DoRothEA;SIGNOR;TRRUST_DoRothEA,HTRIdb:12801909;HTRIdb:17785579;SIGNOR:17012224,3,A,3,3
P35869,P01100,AHR,FOS,1,0,0,0,0,0,DoRothEA;HTRIdb;HTRIdb_DoRothEA;TRRUST_DoRothEA,DoRothEA:10478842;HTRIdb:10478842,2,A,1,2
P35869,P01106,AHR,MYC,1,0,0,0,0,0,FANTOM4_DoRothEA;TRRUST_DoRothEA,NA,0,A,0,0
P35869,P19224,AHR,UGT1A6,1,0,0,0,0,0,DoRothEA;HTRIdb;HTRIdb_DoRothEA;TRRUST_DoRothEA,DoRothEA:9466822;HTRIdb:9466822,2,A,1,2
P10275,P61221,AR,ABCE1,1,0,0,0,0,0,DoRothEA;DoRothEA-reviews_DoRothEA;HTRIdb,DoRothEA:17721441;HTRIdb:20610535,2,A,2,2
P10275,Q6JQN1,AR,ACAD10,1,0,0,0,0,0,DoRothEA-reviews_DoRothEA,NA,1,A,0,0
P10275,P15309,AR,ACP3,1,0,0,0,0,0,DoRothEA;HTRIdb;IntAct_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA,HTRIdb:20610535,1,A,1,2
P10275,P02765,AR,AHSG,1,0,0,0,0,0,DoRothEA-reviews_DoRothEA;HOCOMOCO_DoRothEA,NA,1,A,0,0
P10275,P15121,AR,AKR1B1,1,0,0,0,0,0,DoRothEA;HTRIdb;PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA,HTRIdb:20610535,1,A,1,2
P10275,P42330,AR,AKR1C3,1,0,1,1,0,1,HOCOMOCO_DoRothEA;TRRUST_DoRothEA,NA,1,A,0,0
P10275,P31749,AR,AKT1,1,1,0,1,1,0,RegNetwork_DoRothEA;TRED_DoRothEA;TRRUST_DoRothEA,NA,1,A,0,0
P10275,P10696,AR,ALPG,1,0,0,0,0,0,DoRothEA-reviews_DoRothEA,NA,0,A,0,0
P10275,Q9UM13,AR,ANAPC10,1,0,0,0,0,0,DoRothEA;DoRothEA-reviews_DoRothEA;HTRIdb,DoRothEA:17721441;HTRIdb:20610535,2,A,2,2
P10275,Q96CW1,AR,AP2M1,1,0,0,0,0,0,DoRothEA-reviews_DoRothEA,NA,1,A,0,0
P10275,Q92624,AR,APPBP2,1,0,0,0,0,0,DoRothEA-reviews_DoRothEA,NA,1,A,0,0
P10275,P18850,AR,ATF6,1,0,0,0,0,0,DoRothEA;DoRothEA-reviews_DoRothEA;HTRIdb,DoRothEA:17721441;HTRIdb:20610535,2,A,2,2
P10275,Q13315,AR,ATM,1,0,0,0,0,0,DoRothEA-reviews_DoRothEA;HOCOMOCO_DoRothEA,NA,1,A,0,0
P10275,P23634,AR,ATP2B4,1,0,0,0,0,0,DoRothEA;DoRothEA-reviews_DoRothEA;HTRIdb;JASPAR_DoRothEA,DoRothEA:17721441;HTRIdb:20610535,2,A,2,2
P10275,Q9NXR7,AR,BABAM2,1,0,0,0,0,0,DoRothEA;DoRothEA-reviews_DoRothEA;HTRIdb,HTRIdb:20610535,1,A,1,2
P10275,O75531,AR,BANF1,1,0,0,0,0,0,DoRothEA-reviews_DoRothEA,NA,1,A,0,0
P10275,P43251,AR,BTD,1,0,0,0,0,0,DoRothEA;DoRothEA-reviews_DoRothEA;HTRIdb,DoRothEA:17721441;HTRIdb:20610535,2,A,2,2
P10275,Q16589,AR,CCNG2,1,0,0,0,0,0,DoRothEA;DoRothEA-reviews_DoRothEA;HTRIdb,DoRothEA:17721441;HTRIdb:20610535,2,A,2,2
P10275,P01730,AR,CD4,1,0,0,0,0,0,DoRothEA-reviews_DoRothEA,NA,1,A,0,0
P10275,Q99741,AR,CDC6,1,1,0,1,1,0,DoRothEA;HTRIdb;TFactS_DoRothEA;TRRUST_DoRothEA,HTRIdb:20610535,1,A,1,2
P10275,P19022,AR,CDH2,1,1,0,1,1,0,DoRothEA;HTRIdb;TFactS_DoRothEA;TRRUST_DoRothEA,HTRIdb:20610535,1,A,1,2
P10275,O76039,AR,CDKL5,1,0,0,0,0,0,DoRothEA;DoRothEA-reviews_DoRothEA;HTRIdb,DoRothEA:17721441;HTRIdb:20610535,2,A,2,2
P10275,P38936,AR,CDKN1A,1,1,0,1,1,0,DoRothEA;HTRIdb;HTRIdb_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA;TRRUST_DoRothEA,DoRothEA:10076995;HTRIdb:10076995;HTRIdb:20610535,3,A,2,2
P10275,Q99967,AR,CITED2,1,0,0,0,0,0,DoRothEA;DoRothEA-reviews_DoRothEA;HTRIdb;RegNetwork_DoRothEA;TRED_DoRothEA,DoRothEA:17721441;HTRIdb:20610535,2,A,2,2
