#: :filename=/home/mvazque2/.rbbt/tmp/tmp-692728351.Sheet1#:type=:double
#TF_name	GENE PRODUCT ID	GO:0003700
KLF18	A0A0U1RQI7	GO:0003700
HSFX4	A0A1B0GTS1	GO:0003700
HSFX3	A0A1B0GWH4	GO:0003700
DUXB	A0A1W2PPF3	GO:0003700
CPHXL2	A0A1W2PPK0	GO:0003700
CPHXL	A0A1W2PPM1	GO:0003700
ERFL	A0A1W2PQ73	GO:0003700
ZNF722	A0A1W2PQL4	GO:0003700
FOXL3	A0A1W2PRP0	GO:0003700
FOXO3B	A0A2Z4LIS9	GO:0003700
NFILZ	A0A5F9ZHS7	GO:0003700
E2F8	A0AVK6	GO:0003700
FEZF1	A0PJY2	GO:0003700
ZBTB7C	A1YPR0	GO:0003700
HMX2	A2RU54	GO:0003700
NKX2-6	A6NCS4	GO:0003700
MEIS3P1	A6NDR6	GO:0003700
ZNF840P	A6NDX5	GO:0003700
HELT	A6NFD8	GO:0003700
ZNF316	A6NFI3	GO:0003700
DPRX	A6NFQ7	GO:0003700
ZSCAN5C	A6NGD5	GO:0003700
HMX3	A6NHT5	GO:0003700
MSGN1	A6NI15	GO:0003700
NKX6-3	A6NJ46	GO:0003700
ARGFX	A6NJG6	GO:0003700
ZSCAN5B	A6NJL1	GO:0003700
UNCX	A6NJT0	GO:0003700
ZNF98	A6NK75	GO:0003700
DUXA	A6NLW8	GO:0003700
DBX1	A6NMT0	GO:0003700
ZNF729	A6NN14	GO:0003700
DRGX	A6NNA5	GO:0003700
ZNF716	A6NP11	GO:0003700
MEIS3P2	A8K0S8	GO:0003700
ZNF785	A8K8V0	GO:0003700
ZNF850	A8MQ14	GO:0003700
ZNF891	A8MT65	GO:0003700
FOXI3	A8MTJ6	GO:0003700
NOTO	A8MTQ0	GO:0003700
ZNF724	A8MTY0	GO:0003700
ZNF727	A8MUV8	GO:0003700
ZNF705G	A8MUZ8	GO:0003700
ZNF705EP	A8MWA4	GO:0003700
ZNF99	A8MXY4	GO:0003700
FOXO6	A8MYZ6	GO:0003700
LEUTX	A8MZ59	GO:0003700
AHRR	A9YTQ3	GO:0003700
ZNF487	B1APH4	GO:0003700
ZBTB42	B2RXF5	GO:0003700
ZNF736	B4DX44	GO:0003700
ZNF732	B4DXR9	GO:0003700
ZNF814	B7Z6K7	GO:0003700
ZNF878	C9JN71	GO:0003700
ZNF587B	E7ETH6	GO:0003700
ANHX	E9PGG2	GO:0003700
OVOL3	O00110	GO:0003700
RFXAP	O00287	GO:0003700
ETV2	O00321	GO:0003700
BMAL1	O00327	GO:0003700
FOXE1	O00358	GO:0003700
FOXN3	O00409	GO:0003700
MEIS1	O00470	GO:0003700
NR5A2	O00482	GO:0003700
SOX1	O00570	GO:0003700
NTN3	O00634	GO:0003700
NFIB	O00712	GO:0003700
E2F3	O00716	GO:0003700
BHLHE40	O14503	GO:0003700
CUX2	O14529	GO:0003700
RFXANK	O14593	GO:0003700
CDX4	O14627	GO:0003700
ZNF195	O14628	GO:0003700
ZNF197	O14709	GO:0003700
OVOL1	O14753	GO:0003700
MEIS2	O14770	GO:0003700
ZNF213	O14771	GO:0003700
PHOX2A	O14813	GO:0003700
BACH1	O14867	GO:0003700
IRF6	O14896	GO:0003700
KLF11	O14901	GO:0003700
TFEC	O14948	GO:0003700
ZNF263	O14978	GO:0003700
ZNF646	O15015	GO:0003700
ZBTB5	O15062	GO:0003700
ZNF536	O15090	GO:0003700
TBX3	O15119	GO:0003700
ZBTB7B	O15156	GO:0003700
