#: :filename=/home/mvazque2/.rbbt/tmp/tmp-952132306.Sheet1#:type=:double
#TF_name	GENE PRODUCT ID	GO:0003712	TAXON ID	organism
Camta1	A2A891	GO:0003712	10090	mouse
Prdm16	A2A935	GO:0003712	10090	mouse
Med14	A2ABV5	GO:0003712	10090	mouse
Bclaf3	A2AG58	GO:0003712	10090	mouse
Med12	A2AGH6	GO:0003712	10090	mouse
Bcorl1	A2AQH4	GO:0003712	10090	mouse
Atxn7l3	A2AWT3	GO:0003712	10090	mouse
Zxdb	A2CE44	GO:0003712	10090	mouse
Ssxa1	B1AUS7	GO:0003712	10090	mouse
Akirin2	B1AXD8	GO:0003712	10090	mouse
Ep300	B2RWS6	GO:0003712	10090	mouse
Hsbp1l1	B2RXB2	GO:0003712	10090	mouse
Tmf1	B9EKI3	GO:0003712	10090	mouse
Ccdc62	E9PVD1	GO:0003712	10090	mouse
Irf2bp2	E9Q1P8	GO:0003712	10090	mouse
Helz2	E9QAM5	GO:0003712	10090	mouse
Pou2af3	F8VPY8	GO:0003712	10090	mouse
Ube3a	O08759	GO:0003712	10090	mouse
Aip	O08915	GO:0003712	10090	mouse
Ncoa3	O09000	GO:0003712	10090	mouse
Hdac1	O09106	GO:0003712	10090	mouse
Psmc3ip	O35047	GO:0003712	10090	mouse
Atn1	O35126	GO:0003712	10090	mouse
C1d	O35473	GO:0003712	10090	mouse
Daxx	O35613	GO:0003712	10090	mouse
Zfpm1	O35615	GO:0003712	10090	mouse
Hyal2	O35632	GO:0003712	10090	mouse
C1qbp	O35658	GO:0003712	10090	mouse
Cited2	O35740	GO:0003712	10090	mouse
Cops5	O35864	GO:0003712	10090	mouse
Pias3	O54714	GO:0003712	10090	mouse
Per2	O54943	GO:0003712	10090	mouse
Cbfa2t3	O54972	GO:0003712	10090	mouse
Crym	O54983	GO:0003712	10090	mouse
Sap18	O55128	GO:0003712	10090	mouse
Dhx9	O70133	GO:0003712	10090	mouse
Ppargc1a	O70343	GO:0003712	10090	mouse
Cbfa2t2	O70374	GO:0003712	10090	mouse
Pdlim1	O70400	GO:0003712	10090	mouse
Fhl2	O70433	GO:0003712	10090	mouse
Nsd1	O88491	GO:0003712	10090	mouse
Dnmt3b	O88509	GO:0003712	10090	mouse
Gmnn	O88513	GO:0003712	10090	mouse
Sap30	O88574	GO:0003712	10090	mouse
Brd7	O88665	GO:0003712	10090	mouse
Ctbp1	O88712	GO:0003712	10090	mouse
Hdac3	O88895	GO:0003712	10090	mouse
Hipk1	O88904	GO:0003712	10090	mouse
Pias1	O88907	GO:0003712	10090	mouse
Nr3c1	P06537	GO:0003712	10090	mouse
Ifi204	P0DOV2	GO:0003712	10090	mouse
Sub1	P11031	GO:0003712	10090	mouse
Jund	P15066	GO:0003712	10090	mouse
Trim30a	P15533	GO:0003712	10090	mouse
Fgf2	P15655	GO:0003712	10090	mouse
Hmga1	P17095	GO:0003712	10090	mouse
Eno1	P17182	GO:0003712	10090	mouse
Wnt4	P22724	GO:0003712	10090	mouse
Ccnd1	P25322	GO:0003712	10090	mouse
Nfkb1	P25799	GO:0003712	10090	mouse
Lmo2	P25801	GO:0003712	10090	mouse
Wnt3a	P27467	GO:0003712	10090	mouse
Ets1	P27577	GO:0003712	10090	mouse
Apex1	P28352	GO:0003712	10090	mouse
Rxrb	P28704	GO:0003712	10090	mouse
Hmgb2	P30681	GO:0003712	10090	mouse
Tfap2a	P34056	GO:0003712	10090	mouse
Pparg	P37238	GO:0003712	10090	mouse
Elk1	P41969	GO:0003712	10090	mouse
Crebbp	P45481	GO:0003712	10090	mouse
Yap1	P46938	GO:0003712	10090	mouse
Brca1	P48754	GO:0003712	10090	mouse
Nkx2-1	P50220	GO:0003712	10090	mouse
Pa2g4	P50580	GO:0003712	10090	mouse
Xpc	P51612	GO:0003712	10090	mouse
Hdgf	P51859	GO:0003712	10090	mouse
Pkm	P52480	GO:0003712	10090	mouse
Hmga2	P52927	GO:0003712	10090	mouse
Cebpz	P53569	GO:0003712	10090	mouse
Ctbp2	P56546	GO:0003712	10090	mouse
Tdg	P56581	GO:0003712	10090	mouse
Fus	P56959	GO:0003712	10090	mouse
Actn4	P57780	GO:0003712	10090	mouse
Setd4	P58467	GO:0003712	10090	mouse
Asxl1	P59598	GO:0003712	10090	mouse
Mrtfb	P59759	GO:0003712	10090	mouse
Sirt6	P59941	GO:0003712	10090	mouse
Kdm2a	P59997	GO:0003712	10090	mouse
Ruvbl1	P60122	GO:0003712	10090	mouse
Cops2	P61202	GO:0003712	10090	mouse
Pcbd1	P61458	GO:0003712	10090	mouse
Lmo4	P61969	GO:0003712	10090	mouse
Elob	P62869	GO:0003712	10090	mouse
Tle5	P63002	GO:0003712	10090	mouse
Hmgb1	P63158	GO:0003712	10090	mouse
Phb1	P67778	GO:0003712	10090	mouse
Ube2l3	P68037	GO:0003712	10090	mouse
Prkcb	P68404	GO:0003712	10090	mouse
Dcc	P70211	GO:0003712	10090	mouse
Pkn1	P70268	GO:0003712	10090	mouse
Ezh1	P70351	GO:0003712	10090	mouse
Ncoa1	P70365	GO:0003712	10090	mouse
Tp53bp1	P70399	GO:0003712	10090	mouse
Ldb1	P70662	GO:0003712	10090	mouse
Naca	P70670	GO:0003712	10090	mouse
Smyd1	P97443	GO:0003712	10090	mouse
Myt1l	P97500	GO:0003712	10090	mouse
Wbp2	P97765	GO:0003712	10090	mouse
Cited1	P97769	GO:0003712	10090	mouse
Notch1	Q01705	GO:0003712	10090	mouse
Nme2	Q01768	GO:0003712	10090	mouse
Ctnnb1	Q02248	GO:0003712	10090	mouse
Jup	Q02257	GO:0003712	10090	mouse
Muc1	Q02496	GO:0003712	10090	mouse
Btg2	Q04211	GO:0003712	10090	mouse
Mak	Q04859	GO:0003712	10090	mouse
Cbfb	Q08024	GO:0003712	10090	mouse
Tle3	Q08122	GO:0003712	10090	mouse
Znf541	Q0GGX2	GO:0003712	10090	mouse
Mamstr	Q0ZCJ7	GO:0003712	10090	mouse
Parp14	Q2EMV9	GO:0003712	10090	mouse
Kmt5a	Q2YDW7	GO:0003712	10090	mouse
Tcerg1l	Q3B807	GO:0003712	10090	mouse
Smarca4	Q3TKT4	GO:0003712	10090	mouse
Uri1	Q3TLD5	GO:0003712	10090	mouse
Pbxip1	Q3TVI8	GO:0003712	10090	mouse
Arid5a	Q3U108	GO:0003712	10090	mouse
Mier2	Q3U3N0	GO:0003712	10090	mouse
Kmt2e	Q3UG20	GO:0003712	10090	mouse
Mier3	Q3UHF3	GO:0003712	10090	mouse
Atf7ip2	Q3UL97	GO:0003712	10090	mouse
Elane	Q3UP87	GO:0003712	10090	mouse
Kdm7a	Q3UWM4	GO:0003712	10090	mouse
Kdm5a	Q3UXZ9	GO:0003712	10090	mouse
Ddx17	Q501J6	GO:0003712	10090	mouse
Cenpj	Q569L8	GO:0003712	10090	mouse
Thrap3	Q569Z6	GO:0003712	10090	mouse
Rnf20	Q5DTM8	GO:0003712	10090	mouse
Sfmbt2	Q5DTW2	GO:0003712	10090	mouse
Usp22	Q5DU02	GO:0003712	10090	mouse
Mlip	Q5FW52	GO:0003712	10090	mouse
Slc30a9	Q5IRJ6	GO:0003712	10090	mouse
Kctd1	Q5M956	GO:0003712	10090	mouse
Phf12	Q5SPL2	GO:0003712	10090	mouse
Sap30l	Q5SQF8	GO:0003712	10090	mouse
Med13	Q5SWW4	GO:0003712	10090	mouse
Wwc1	Q5SXA9	GO:0003712	10090	mouse
Trim38	Q5SZ99	GO:0003712	10090	mouse
Mier1	Q5UAK0	GO:0003712	10090	mouse
Setd5	Q5XJV7	GO:0003712	10090	mouse
Sin3a	Q60520	GO:0003712	10090	mouse
Ski	Q60698	GO:0003712	10090	mouse
Tcf4	Q60722	GO:0003712	10090	mouse
Cnot7	Q60809	GO:0003712	10090	mouse
Pml	Q60953	GO:0003712	10090	mouse
Ncor1	Q60974	GO:0003712	10090	mouse
Ncoa2	Q61026	GO:0003712	10090	mouse
Nr0b1	Q61066	GO:0003712	10090	mouse
Nab1	Q61122	GO:0003712	10090	mouse
Nab2	Q61127	GO:0003712	10090	mouse
Tsg101	Q61187	GO:0003712	10090	mouse
Ezh2	Q61188	GO:0003712	10090	mouse
Hcfc1	Q61191	GO:0003712	10090	mouse
Dyrk1a	Q61214	GO:0003712	10090	mouse
Smarcd1	Q61466	GO:0003712	10090	mouse
Tob1	Q61471	GO:0003712	10090	mouse
Trim25	Q61510	GO:0003712	10090	mouse
Ewsr1	Q61545	GO:0003712	10090	mouse
Hr	Q61645	GO:0003712	10090	mouse
Ddx5	Q61656	GO:0003712	10090	mouse
Hspa1a	Q61696	GO:0003712	10090	mouse
Runx1t1	Q61909	GO:0003712	10090	mouse
Npm1	Q61937	GO:0003712	10090	mouse
Ptpn14	Q62130	GO:0003712	10090	mouse
Sin3b	Q62141	GO:0003712	10090	mouse
Trim27	Q62158	GO:0003712	10090	mouse
Trim21	Q62191	GO:0003712	10090	mouse
Birc2	Q62210	GO:0003712	10090	mouse
Tgfb1i1	Q62219	GO:0003712	10090	mouse
Nr0b2	Q62227	GO:0003712	10090	mouse
Med22	Q62276	GO:0003712	10090	mouse
Ss18	Q62280	GO:0003712	10090	mouse
Taf6	Q62311	GO:0003712	10090	mouse
Trim28	Q62318	GO:0003712	10090	mouse
Arid3a	Q62431	GO:0003712	10090	mouse
Tle1	Q62440	GO:0003712	10090	mouse
Tle4	Q62441	GO:0003712	10090	mouse
Spen	Q62504	GO:0003712	10090	mouse
Zic3	Q62521	GO:0003712	10090	mouse
Raly	Q64012	GO:0003712	10090	mouse
Trim24	Q64127	GO:0003712	10090	mouse
Irf4	Q64287	GO:0003712	10090	mouse
Sqstm1	Q64337	GO:0003712	10090	mouse
Pou2af1	Q64693	GO:0003712	10090	mouse
Map3k10	Q66L42	GO:0003712	10090	mouse
Bcl9l	Q67FY2	GO:0003712	10090	mouse
Mysm1	Q69Z66	GO:0003712	10090	mouse
Jmjd1c	Q69ZK6	GO:0003712	10090	mouse
Ncoa7	Q6DFV7	GO:0003712	10090	mouse
Smarca2	Q6DIC0	GO:0003712	10090	mouse
Nrg1	Q6DR98	GO:0003712	10090	mouse
Utf1	Q6J1H4	GO:0003712	10090	mouse
Med13l	Q6JPI3	GO:0003712	10090	mouse
Znf366	Q6NS86	GO:0003712	10090	mouse
Hdac4	Q6NZM9	GO:0003712	10090	mouse
Pprc1	Q6NZN1	GO:0003712	10090	mouse
Zmiz1	Q6P1E1	GO:0003712	10090	mouse
Kdm2b	Q6P1G2	GO:0003712	10090	mouse
Smarcd3	Q6P9Z1	GO:0003712	10090	mouse
Fbxl19	Q6PB97	GO:0003712	10090	mouse
Kdm3a	Q6PCM1	GO:0003712	10090	mouse
Trim37	Q6PCX9	GO:0003712	10090	mouse
Kmt2d	Q6PDK2	GO:0003712	10090	mouse
Nup98	Q6PFD9	GO:0003712	10090	mouse
Bend6	Q6PFX2	GO:0003712	10090	mouse
Rcor3	Q6PGA0	GO:0003712	10090	mouse
Med16	Q6PGF3	GO:0003712	10090	mouse
Bud31	Q6PGH1	GO:0003712	10090	mouse
Maml1	Q6T264	GO:0003712	10090	mouse
Eid2	Q6X7S9	GO:0003712	10090	mouse
Tacc1	Q6Y685	GO:0003712	10090	mouse
Znf653	Q6YND2	GO:0003712	10090	mouse
Jade1	Q6ZPI0	GO:0003712	10090	mouse
Lcor	Q6ZPI3	GO:0003712	10090	mouse
Kdm3b	Q6ZPY7	GO:0003712	10090	mouse
Kdm1a	Q6ZQ88	GO:0003712	10090	mouse
Med26	Q7TN02	GO:0003712	10090	mouse
Actn1	Q7TPR4	GO:0003712	10090	mouse
Mybbp1a	Q7TPV4	GO:0003712	10090	mouse
Sdr16c5	Q7TQA3	GO:0003712	10090	mouse
