#: :filename=/home/mvazque2/.rbbt/tmp/tmp-777989238.Sheet1#:type=:double
#TF_Name	ID	Lambert
TFAP2A	ENSG00000137203	Lambert
TFAP2B	ENSG00000008196	Lambert
TFAP2C	ENSG00000087510	Lambert
TFAP2D	ENSG00000008197	Lambert
TFAP2E	ENSG00000116819	Lambert
ARID3A	ENSG00000116017	Lambert
ARID3B	ENSG00000179361	Lambert
ARID3C	ENSG00000205143	Lambert
ARID5A	ENSG00000196843	Lambert
ARID5B	ENSG00000150347	Lambert
KDM5B	ENSG00000117139	Lambert
ARID2	ENSG00000189079	Lambert
AHCTF1	ENSG00000153207	Lambert
AHDC1	ENSG00000126705	Lambert
AKNA	ENSG00000106948	Lambert
ASH1L	ENSG00000116539	Lambert
CBX2	ENSG00000173894	Lambert
DNTTIP1	ENSG00000101457	Lambert
DOT1L	ENSG00000104885	Lambert
GLYR1	ENSG00000140632	Lambert
HMGA1	ENSG00000137309	Lambert
HMGA2	ENSG00000149948	Lambert
PHF20	ENSG00000025293	Lambert
PHF21A	ENSG00000135365	Lambert
PRR12	ENSG00000126464	Lambert
SCML4	ENSG00000146285	Lambert
SETBP1	ENSG00000152217	Lambert
SRCAP	ENSG00000080603	Lambert
C11orf95	ENSG00000188070	Lambert
FAM200B	ENSG00000237765	Lambert
SGSM2	ENSG00000141258	Lambert
ZBED1	ENSG00000214717	Lambert
ZBED2	ENSG00000177494	Lambert
ZBED3	ENSG00000132846	Lambert
ZBED4	ENSG00000100426	Lambert
ZBED5	ENSG00000236287	Lambert
ZBED6	ENSG00000257315	Lambert
ZBED9	ENSG00000232040	Lambert
AHR	ENSG00000106546	Lambert
AHRR	ENSG00000063438	Lambert
ARNT	ENSG00000143437	Lambert
ARNT2	ENSG00000172379	Lambert
ARNTL	ENSG00000133794	Lambert
ARNTL2	ENSG00000029153	Lambert
ASCL1	ENSG00000139352	Lambert
ASCL2	ENSG00000183734	Lambert
ASCL3	ENSG00000176009	Lambert
ASCL4	ENSG00000187855	Lambert
ASCL5	ENSG00000232237	Lambert
ATOH1	ENSG00000172238	Lambert
ATOH7	ENSG00000179774	Lambert
ATOH8	ENSG00000168874	Lambert
BHLHA15	ENSG00000180535	Lambert
BHLHA9	ENSG00000205899	Lambert
BHLHE22	ENSG00000180828	Lambert
BHLHE23	ENSG00000125533	Lambert
BHLHE40	ENSG00000134107	Lambert
BHLHE41	ENSG00000123095	Lambert
CCDC169-SOHLH2	ENSG00000250709	Lambert
CLOCK	ENSG00000134852	Lambert
EPAS1	ENSG00000116016	Lambert
FERD3L	ENSG00000146618	Lambert
FIGLA	ENSG00000183733	Lambert
HAND1	ENSG00000113196	Lambert
HAND2	ENSG00000164107	Lambert
HELT	ENSG00000187821	Lambert
HES1	ENSG00000114315	Lambert
HES2	ENSG00000069812	Lambert
HES3	ENSG00000173673	Lambert
HES4	ENSG00000188290	Lambert
HES5	ENSG00000197921	Lambert
HES6	ENSG00000144485	Lambert
HES7	ENSG00000179111	Lambert
HEY1	ENSG00000164683	Lambert
HEY2	ENSG00000135547	Lambert
HEYL	ENSG00000163909	Lambert
HIF1A	ENSG00000100644	Lambert
HIF3A	ENSG00000124440	Lambert
LYL1	ENSG00000104903	Lambert
MAX	ENSG00000125952	Lambert
MESP1	ENSG00000166823	Lambert
MESP2	ENSG00000188095	Lambert
MITF	ENSG00000187098	Lambert
MLX	ENSG00000108788	Lambert
MLXIP	ENSG00000175727	Lambert
MLXIPL	ENSG00000009950	Lambert
MNT	ENSG00000070444	Lambert
MSC	ENSG00000178860	Lambert
MSGN1	ENSG00000151379	Lambert
MXD1	ENSG00000059728	Lambert
