#: :filename=/home/mvazque2/.rbbt/tmp/tmp-940928028.Sheet1#:type=:double
#TF_name	UniProt	name	Lovering
ZHX2	Q9Y6X8	Zinc fingers and homeoboxes protein 2	Lovering
ZNF780B	Q9Y6R6	Zinc finger protein 780B	Lovering
ZFP37	Q9Y6Q3	Zinc finger protein 37 homolog	Lovering
GMEB1	Q9Y692	Glucocorticoid modulatory element-binding protein 1	Lovering
SOX21	Q9Y651	Transcription factor SOX-21	Lovering
ETV7	Q9Y603	Transcription factor ETV7	Lovering
NR2E3	Q9Y5X4	Photoreceptor-specific nuclear receptor	Lovering
KLF2	Q9Y5W3	Krueppel-like factor 2	Lovering
DMRT1	Q9Y5R6	Doublesex- and mab-3-related transcription factor 1	Lovering
DMRT2	Q9Y5R5	Doublesex- and mab-3-related transcription factor 2	Lovering
MAFB	Q9Y5Q3	Transcription factor MafB	Lovering
HEY1	Q9Y5J3	Hairy/enhancer-of-split related with YRPW motif protein 1	Lovering
ZSCAN21	Q9Y5A6	Zinc finger and SCAN domain-containing protein 21	Lovering
HES2	Q9Y543	Transcription factor HES-2	Lovering
NEUROG3	Q9Y4Z2	Neurogenin-3	Lovering
KLF12	Q9Y4X4	Krueppel-like factor 12	Lovering
NFE2L3	Q9Y4A8	Nuclear factor erythroid 2-related factor 3	Lovering
ZNF175	Q9Y473	Zinc finger protein 175	Lovering
SALL2	Q9Y467	Sal-like protein 2	Lovering
NR2E1	Q9Y466	Nuclear receptor subfamily 2 group E member 1	Lovering
ZNF711	Q9Y462	Zinc finger protein 711	Lovering
TBX22	Q9Y458	T-box transcription factor TBX22	Lovering
ZNF337	Q9Y3M9	Zinc finger protein 337	Lovering
ZBTB12	Q9Y330	Zinc finger and BTB domain-containing protein 12	Lovering
KLF13	Q9Y2Y9	Krueppel-like factor 13	Lovering
ZBTB32	Q9Y2Y4	Zinc finger and BTB domain-containing protein 32	Lovering
ZNF281	Q9Y2X9	Zinc finger protein 281	Lovering
KCNIP3	Q9Y2W7	Calsenilin	Lovering
RAX	Q9Y2V3	Retinal homeobox protein Rx	Lovering
ZNF257	Q9Y2Q1	Zinc finger protein 257	Lovering
ZNF256	Q9Y2P7	Zinc finger protein 256	Lovering
ZNF835	Q9Y2P0	Zinc finger protein 835	Lovering
