A0A0G2K5M1	Sp3	NA	has_input(UniProtKB:Q10739)
A0A0G2K5M1	Sp3	UP	has_regulation_target(UniProtKB:Q10739)
D3ZE20	Nfatc1	NA	has_input(UniProtKB:Q10739)
D3ZE20	Nfatc1	UP	has_regulation_target(UniProtKB:Q10739)
E9PT53	Wfs1	DOWN	has_regulation_target(UniProtKB:P06761)|has_regulation_target(UniProtKB:Q9R0T3)
O35762	Nkx6-1	DOWN	has_regulation_target(NCBI_Gene:24952)
P05554	Cebpa	UP	has_regulation_target(NCBI_Gene:6548)
P08154	Egr1	NA	has_input(UniProtKB:Q10739)
P08154	Egr1	UP	has_regulation_target(UniProtKB:Q10739)
P09416	Myc	DOWN	has_regulation_target(UniProtKB:P19132)
P10037	Pou1f1	UP	has_regulation_target(NCBI_Gene:24683)
P20267	Pou3f1	DOWN	has_regulation_target(NCBI_Gene:24564)
P21272	Cebpb	UP	has_regulation_target(NCBI_Gene:6548)
P23441	Nkx2-1	UP	has_regulation_target(NCBI_Gene:20390)
P49187	Mapk10	DOWN	has_regulation_target(UniProtKB:Q9JK66)
P51974	Pax8	UP	has_regulation_target(NCBI_Gene:24826)
P62501	Tsc22d1	NA	has_regulation_target(NCBI_Gene:4880)
P62501	Tsc22d1	UP	has_regulation_target(NCBI_Gene:4880)
P62501	Tsc22d1	UP	has_regulation_target(NCBI_Gene:4880)
P70475	Myt1l	NA	has_regulation_target(NCBI_Gene:24706)
P70475	Myt1l	UP	has_regulation_target(NCBI_Gene:5915)
Q00900	Hivep2	NA	has_regulation_target(NCBI_Gene:6752)
Q00900	Hivep2	UP	has_regulation_target(NCBI_Gene:6752)
Q00900	Hivep2	UP	has_regulation_target(NCBI_Gene:6752)
Q01714	Sp1	NA	has_input(UniProtKB:Q10739)
Q01714	Sp1	UP	has_regulation_target(UniProtKB:Q10739)
Q01714	Sp1	UP	regulates_transcription_of(ENSEMBL:ENSRNOG00000020388),occurs_in(CL:0000746),part_of(GO:0032869)
Q03484	Cebpd	UP	has_regulation_target(NCBI_Gene:6548)
Q2MJT0	Mef2a	UP	regulates_transcription_of(ENSEMBL:ENSRNOG00000035557),occurs_in(CL:2000046)|regulates_transcription_of(ENSEMBL:ENSRNOG00000036263),occurs_in(CL:2000046)
Q62661	Hbp1	DOWN	has_regulation_target(NCBI_Gene:653361)
Q62661	Hbp1	NA	has_regulation_target(NCBI_Gene:653361)
Q62661	Hbp1	DOWN	has_regulation_target(NCBI_Gene:653361)
Q62735	Nr1h4	UP	has_regulation_target(NCBI_Gene:24912)
Q62862	Map2k5	DOWN	has_input(UniProtKB:Q9Y5W3)|has_input(UniProtKB:O43474)|has_input(UniProtKB:P29474)
Q62862	Map2k5	UP	has_input(UniProtKB:O43474)|has_input(UniProtKB:P29474)
Q62986	Esr2	UP	has_regulation_target(NCBI_Gene:5020)
Q80Z36	Zhx3	NA	has_regulation_target(NCBI_Gene:25697)
Q9EQJ4	Znf384	NA	has_regulation_target(NCBI_Gene:4312)
Q9EQJ4	Znf384	UP	has_regulation_target(NCBI_Gene:4312)
Q9EQJ4	Znf384	UP	has_regulation_target(NCBI_Gene:4312)
Q9WTY8	Zbtb10	NA	has_regulation_target(NCBI_Gene:2520)
