#: :filename=/home/mvazque2/.rbbt/tmp/tmp-542940535.Sheet1#:type=:double
#Associated.Gene.Name	Synonyms	Official name	Entrez.Taxa.ID	Entrez.Gene.ID	UniProt.SwissProt.Accession	Ensembl.Gene.ID	TFclass_human	TFclass_mouse	TFclass_rat	TFClass_classification_family_code	TFClass_classification_class_name
4930522L14Rik	-	-	10090	100041734	Q8C1G8	ENSMUSG00000072762	NA	TFclass_mouse.present	NA	NA	NA
5430403G16Rik	-	-	10090	77200	D3Z5L4	ENSMUSG00000072763	NA	TFclass_mouse.present	NA	NA	NA
9130019O22Rik	-	Zinc finger protein 768	10090|10116|10090	233890|102553763|78921	Q8R0T2|D3ZGK0|G3X941	ENSMUSG00000047371|ENSRNOG00000029490|ENSMUSG00000030823	NA	TFclass_mouse.present	TFclass_rat.present	NA	NA
A530032D15Rik	-	-	10090	381287	E9Q422	ENSMUSG00000089844	NA	TFclass_mouse.present	NA	NA	NA
ADNP	KIAA0784 ADNP1	Activity-dependent neuroprotector homeobox protein 	9606|10090|10116	23394|11538|64622	Q9H2P0|Q9Z103|Q9JKL8	ENSG00000101126|ENSMUSG00000051149|ENSRNOG00000010975	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.8	Homeo domain factors
ADNP2	KIAA0863	Activity-dependent neuroprotector homeobox protein 2 	9606|10090|10116	22850|240442|307236	Q6IQ32|Q8CHC8|A0A0G2JT49	ENSG00000101544|ENSMUSG00000053950|ENSRNOG00000053370	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.8	Homeo domain factors
AEBP2	MGC17922	Zinc finger protein AEBP2 	9606|10090|10116	121536|11569|297705	Q6ZN18|Q9Z248|D3ZED3	ENSG00000139154|ENSMUSG00000030232|ENSRNOG00000008929	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.2	C2H2 zinc finger factors
AHR	bHLHe76	Aryl hydrocarbon receptor 	9606|10090|10116	196|11622|25690	P35869|P30561|P41738	ENSG00000106546|ENSMUSG00000019256|ENSRNOG00000004342	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.2.5	Basic helix-loop-helix factors (bHLH)
AHRR	KIAA1234 bHLHe77	Aryl hydrocarbon receptor repressor 	9606|10090|10116	57491|11624|498999	A9YTQ3|Q3U1U7|Q75NT5	ENSG00000063438|ENSMUSG00000021575|ENSRNOG00000014721	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.2.5	Basic helix-loop-helix factors (bHLH)
AIRE	PGA1 APS1	Autoimmune regulator 	9606|10090|10116	326|11634|294328	O43918|Q9Z0E3|D3ZV49	ENSG00000160224|ENSMUSG00000000731|ENSRNOG00000001213	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	5.3.1	SAND domain factors
ALX1	-	ALX homeobox protein 1 	9606|10090|10116	8092|216285|25401	Q15699|Q8C8B0|Q63087	ENSG00000180318|ENSMUSG00000036602|ENSRNOG00000004390	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.3	Homeo domain factors
ALX3	-	Homeobox protein aristaless-like 3 	9606|10090|10116	257|11694|365900	O95076|O70137|F1LN97	ENSG00000156150|ENSMUSG00000014603|ENSRNOG00000018290	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.3	Homeo domain factors
ALX4	FPP PFM KIAA1788	Homeobox protein aristaless-like 4	9606|10090|10116	60529|11695|296511	Q9H161|O35137|D3ZEM1	ENSG00000052850|ENSMUSG00000040310|ENSRNOG00000000008	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.3	Homeo domain factors
AR	AIS NR3C4 SMAX1 HUMARA	Androgen receptor 	9606|10090|10116	367|11835|24208	P10275|P19091|P15207	ENSG00000169083|ENSMUSG00000046532|ENSRNOG00000005639	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.1.1	Nuclear receptors with C4 zinc fingers
ARGFX	-	Arginine-fifty homeobox	9606	503582	A6NJG6	ENSG00000186103	TFclass_human.present	NA	NA	3.1.3	Homeo domain factors
ARID1A	B120 P270 C10rf4 BAF250 BAF250a	AT-rich interactive domain-containing protein 1A 	9606|10090|10116	8289|93760|297867	O14497|A2BH40|D4A3E3	ENSG00000117713|ENSMUSG00000007880|ENSRNOG00000006137	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.7.1	ARID domain factors
ARID1B	KIAA1235 ELD/OSA1 p250R BAF250b DAN15 6A3-5 SMARCF2	AT-rich interactive domain-containing protein 1B 	9606|10090|10116	57492|239985|282546	Q8NFD5|E9Q4N7|F1LNP1	ENSG00000049618|ENSMUSG00000069729|ENSRNOG00000017030	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.7.1	ARID domain factors
ARID2	KIAA1557 DKFZp686G052 FLJ30619 BAF200 SMARCF3	AT-rich interactive domain-containing protein 2 	9606|10090|10116	196528|77044|366980	Q68CP9|E9Q7E2|D3ZJU0	ENSG00000189079|ENSMUSG00000033237|ENSRNOG00000004831	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.7.1	ARID domain factors
ARID3A	BRIGHT	AT-rich interactive domain-containing protein 3A 	9606|10090|10116	1820|13496|314616	Q99856|Q62431|B5DEX9	ENSG00000116017|ENSMUSG00000019564|ENSRNOG00000026435	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.7.1	ARID domain factors
ARID3B	BDP DRIL2	AT-rich interactive domain-containing protein 3B 	9606|10090|10116	10620|56380|367092	Q8IVW6|Q9Z1N7|D3ZGC2	ENSG00000179361|ENSMUSG00000004661|ENSRNOG00000019677	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.7.1	ARID domain factors
ARID3C	-	AT-rich interactive domain-containing protein 3C 	9606|10090|10116	138715|550619|502946	A6NKF2|A6PWV5|D3ZQB1	ENSG00000205143|ENSMUSG00000066224|ENSRNOG00000013416	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	NA	NA
ARID4A	RBP1 RBP-1	AT-rich interactive domain-containing protein 4A 	9606|10090|10116	5926|238247|314205	P29374|F8VPQ2|D4ADE4	ENSG00000032219|ENSMUSG00000048118|ENSRNOG00000026239	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.7.1	ARID domain factors
ARID4B	BCAA BRCAA1 SAP180	AT-rich interactive domain-containing protein 4B 	9606|10090|10116	51742|94246|100912163	Q4LE39|A2CG63|Q9JKB5	ENSG00000054267|ENSMUSG00000039219|ENSRNOG00000016391	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.7.1	ARID domain factors
ARID5A	MRF-1 RP11-363D14	AT-rich interactive domain-containing protein 5A 	9606|10090|10116	10865|214855|316327	Q03989|Q3U108|A0A0G2K0Q5	ENSG00000196843|ENSMUSG00000037447|ENSRNOG00000015382	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.7.1	ARID domain factors
ARID5B	FLJ21150 MRF2	AT-rich interactive domain-containing protein 5B 	9606|10090	84159|71371	Q14865|Q8BM75	ENSG00000150347|ENSMUSG00000019947	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.7.1	ARID domain factors
ARNT	HIF-1beta bHLHe2	Aryl hydrocarbon receptor nuclear translocator 	9606|10090|10116	405|11863|25242	P27540|P53762|P41739	ENSG00000143437|ENSMUSG00000015522|ENSRNOG00000031174	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.2.5	Basic helix-loop-helix factors (bHLH)
ARNT2	KIAA0307 bHLHe1	Aryl hydrocarbon receptor nuclear translocator 2 	9606|10090|10116	9915|11864|25243	Q9HBZ2|Q61324|Q78E60	ENSG00000172379|ENSMUSG00000015709|ENSRNOG00000013017	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.2.5	Basic helix-loop-helix factors (bHLH)
ARNTL	MOP3 JAP3 PASD3 bHLHe5 ARNTL1	Aryl hydrocarbon receptor nuclear translocator-like protein 1 	9606|10090|10116	406|11865|29657	O00327|Q9WTL8|Q9EPW1	ENSG00000133794|ENSMUSG00000055116|ENSRNOG00000014448	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.2.5	Basic helix-loop-helix factors (bHLH)
ARNTL2	MOP9 CLIF PASD9 bHLHe6	Aryl hydrocarbon receptor nuclear translocator-like protein 2 	9606|10090|10116	56938|272322|362464	Q8WYA1|Q2VPD4|D4ADP3	ENSG00000029153|ENSMUSG00000040187|ENSRNOG00000001830	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.2.5	Basic helix-loop-helix factors (bHLH)
ARX	ISSX CT121 EIEE1	Homeobox protein ARX 	9606|10090|10116	170302|11878|317268	Q96QS3|O35085|A6YP92	ENSG00000004848|ENSMUSG00000035277|ENSRNOG00000053562	TFclass_human.present	TFclass_mouse.present	NA	3.1.3	Homeo domain factors
ASCL1	ASH1 HASH1 bHLHa46	Achaete-scute homolog 1 	9606|10090|10116	429|17172|64186	P50553|Q02067|P19359	ENSG00000139352|ENSMUSG00000020052|ENSRNOG00000004294	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.2.2	Basic helix-loop-helix factors (bHLH)
ASCL2	ASH2 HASH2 bHLHa45	Achaete-scute homolog 2 	9606|10090|10116	430|17173|24209	Q99929|O35885|P19360	ENSG00000183734|ENSMUSG00000009248|ENSRNOG00000020434	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.2.2	Basic helix-loop-helix factors (bHLH)
ASCL3	bHLHa42 HASH3 Sgn1	Achaete-scute homolog 3 	9606|10090	56676|56787	Q9NQ33|Q9JJR7	ENSG00000176009|ENSMUSG00000035951	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.2.2	Basic helix-loop-helix factors (bHLH)
ASCL4	HASH4 bHLHa44	Achaete-scute homolog 4 	9606|10090|10116	121549|67341|299687	Q6XD76|M0QW46|D3ZS54	ENSG00000187855|ENSMUSG00000085111|ENSRNOG00000031493	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.2.2	Basic helix-loop-helix factors (bHLH)
ASCL5	bHLHa47 ASH-5 AmeloD	Achaete-scute homolog 5 	9606|10090|10116	647219|226439|363991	Q7RTU5|M0QWB7|F1LUI6	ENSG00000232237|ENSMUSG00000097918|ENSRNOG00000033391	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.2.2	Basic helix-loop-helix factors (bHLH)
ATF1	TREB36	Cyclic AMP-dependent transcription factor ATF-1 	9606|10090|10116	466|11908|315305	P18846|P81269|F7FD47	ENSG00000123268|ENSMUSG00000023027|ENSRNOG00000061088	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.1.7	Basic leucine zipper factors (bZIP)
ATF2	TREB7 CRE-BP1 HB16	Cyclic AMP-dependent transcription factor ATF-2 	9606|10090|10116	1386|11909|81647	P15336|P16951|Q00969	ENSG00000115966|ENSMUSG00000027104|ENSRNOG00000001597	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.1.1	Basic leucine zipper factors (bZIP)
ATF3	-	Cyclic AMP-dependent transcription factor ATF-3 	9606|10090|10116	467|11910|25389	P18847|Q60765|P29596	ENSG00000162772|ENSMUSG00000026628|ENSRNOG00000003745	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.1.2	Basic leucine zipper factors (bZIP)
ATF4	TAXREB67 CREB-2	Cyclic AMP-dependent transcription factor ATF-4 	9606|10090|10116	468|11911|79255	P18848|Q06507|Q9ES19	ENSG00000128272|ENSMUSG00000042406|ENSRNOG00000017801	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.1.6	Basic leucine zipper factors (bZIP)
ATF5	-	Cyclic AMP-dependent transcription factor ATF-5 	9606|10090|10116	22809|107503|282840	Q9Y2D1|O70191|Q6P788	ENSG00000169136|ENSMUSG00000038539|ENSRNOG00000020060	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.1.6	Basic leucine zipper factors (bZIP)
ATF6	ATF6A	Cyclic AMP-dependent transcription factor ATF-6 alpha 	9606|10090|10116	22926|226641|304962	P18850|F6VAN0|G3V909	ENSG00000118217|ENSMUSG00000026663|ENSRNOG00000024632	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.1.7	Basic leucine zipper factors (bZIP)
ATF6B	G13	Cyclic AMP-dependent transcription factor ATF-6 beta 	9606|10090|10116	1388|12915|406169	Q99941|O35451|Q4G097	ENSG00000168468|ENSMUSG00000015461|ENSRNOG00000000431	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.1.7	Basic leucine zipper factors (bZIP)
ATF7	ATFA	Cyclic AMP-dependent transcription factor ATF-7 	9606|10090|10116	11016|223922|315333	P17544|Q8R0S1|G3V7X9	ENSG00000170653|ENSMUSG00000099083|ENSRNOG00000015269	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.1.1	Basic leucine zipper factors (bZIP)
ATOH1	HATH1 MATH-1 Math1 bHLHa14	Transcription factor ATOH1 	9606|10090|10116	474|11921|500156	Q92858|P48985|D3ZQL9	ENSG00000172238|ENSMUSG00000073043|ENSRNOG00000006383	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.2.3	Basic helix-loop-helix factors (bHLH)
ATOH7	Math5 bHLHa13	Transcription factor ATOH7 	9606|10090|10116	220202|53404|365564	Q8N100|Q9Z2E5|D3ZG53	ENSG00000179774|ENSMUSG00000036816|ENSRNOG00000000384	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.2.3	Basic helix-loop-helix factors (bHLH)
ATOH8	HATH6 FLJ14708 bHLHa21	Transcription factor ATOH8 	9606|10090|10116	84913|71093|500200	Q96SQ7|Q99NA2|D4AA26	ENSG00000168874|ENSMUSG00000037621|ENSRNOG00000010716	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.2.3	Basic helix-loop-helix factors (bHLH)
ATRX	XH2 XNP	Transcriptional regulator ATRX 	9606|10090|10116	546|22589|246284	P46100|Q61687|P70486	ENSG00000085224|ENSMUSG00000031229|ENSRNOG00000046897	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.2.1	Other C4 zinc finger-type factors
BACH1	BACH-1 BTBD24	Transcription regulator protein BACH1 	9606|10090|10116	571|12013|304127	O14867|P97302|D4ACD2	ENSG00000156273|ENSMUSG00000025612|ENSRNOG00000001582	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.1.1	Basic leucine zipper factors (bZIP)
BACH2	BTBD25	Transcription regulator protein BACH2 	9606	60468	Q9BYV9	ENSG00000112182	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.1.1	Basic leucine zipper factors (bZIP)
BARHL1	-	BarH-like 1 homeobox protein	9606|10090|10116	56751|54422|117232	Q9BZE3|P63157|P63156	ENSG00000125492|ENSMUSG00000026805|ENSRNOG00000013209	TFclass_human.present	NA	TFclass_rat.present	3.1.2	Homeo domain factors
BARHL2	-	BarH-like 2 homeobox protein	9606|10090|10116	343472|104382|65050	Q9NY43|Q8VIB5|O88181	ENSG00000143032|ENSMUSG00000034384|ENSRNOG00000002117	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.2	Homeo domain factors
BARX1	-	Homeobox protein BarH-like 1	9606|10090|10116	56033|12022|364680	Q9HBU1|Q9ER42|D3ZA67	ENSG00000131668|ENSMUSG00000021381|ENSRNOG00000016915	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.2	Homeo domain factors
BARX2	-	Homeobox protein BarH-like 2	9606|10090|10116	8538|12023|679701	Q9UMQ3|O08686|D4A7E7	ENSG00000043039|ENSMUSG00000032033|ENSRNOG00000008592	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.2	Homeo domain factors
BATF	B-ATF SFA-2 BATF1	Basic leucine zipper transcriptional factor ATF-like 	9606|10090|10116	10538|53314|299206	Q16520|O35284|D4A7E1	ENSG00000156127|ENSMUSG00000034266|ENSRNOG00000008588	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.1.4	Basic leucine zipper factors (bZIP)
BATF2	MGC20410	Basic leucine zipper transcriptional factor ATF-like 2 	9606|10090|10116	116071|74481|309178	Q8N1L9|Q8R1H8|D3ZT85	ENSG00000168062|ENSMUSG00000039699|ENSRNOG00000021018	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.1.4	Basic leucine zipper factors (bZIP)
BATF3	JUNDM1 SNFT JDP1	Basic leucine zipper transcriptional factor ATF-like 3 	9606|10090|10116	55509|381319|60462	Q9NR55|Q9D275|P97876	ENSG00000123685|ENSMUSG00000026630|ENSRNOG00000003716	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.1.4	Basic leucine zipper factors (bZIP)
BBX	MDS001 HSPC339 HBP2	HMG box transcription factor BBX 	9606|10090|10116	56987|70508|303970	Q8WY36|Q8VBW5|A1L1L0	ENSG00000114439|ENSMUSG00000022641|ENSRNOG00000001971	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	4.1.1	High-mobility group (HMG) domain factors
BCL11A	BCL11A-XL BCL11A-L BCL11A-S CTIP1 HBFQTL5 ZNF856 SMARCM1	B-cell lymphoma/leukemia 11A 	9606|10090|10116|10090|10116	53335|14025|305589|58208|314423	Q9H165|Q9QYE3|Q5RJJ9|Q99PV8|H9N1L4	ENSG00000119866|ENSMUSG00000000861|ENSRNOG00000007049|ENSMUSG00000048251|ENSRNOG00000005776	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.4	C2H2 zinc finger factors
BCL11B	CTIP-2 CTIP2 hRIT1-alpha SMARCM2	B-cell lymphoma/leukemia 11B 	9606|10090|10116|10090|10116	64919|14025|305589|58208|314423	Q9C0K0|Q9QYE3|Q5RJJ9|Q99PV8|H9N1L4	ENSG00000127152|ENSMUSG00000000861|ENSRNOG00000007049|ENSMUSG00000048251|ENSRNOG00000005776	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.4	C2H2 zinc finger factors
BCL3	-	B-cell lymphoma 3 protein 	9606|10090|10116	602|12051|680611	P20749|Q9Z2F6|D3ZQF8	ENSG00000069399|ENSMUSG00000053175|ENSRNOG00000043416	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	6.1.2	Rel homology region (RHR) factors
BCL6	ZBTB27 LAZ3 BCL5 BCL6A	B-cell lymphoma 6 protein 	9606|10090|10116	604|12053|303836	P41182|P41183|B2GUV8	ENSG00000113916|ENSMUSG00000022508|ENSRNOG00000001843	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
BCL6B	ZBTB28 BAZF	B-cell CLL/lymphoma 6 member B protein 	9606|10090|10116	255877|12029|360551	Q8N143|O88282|D3ZTN3	ENSG00000161940|ENSMUSG00000000317|ENSRNOG00000059956	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
BHLHA15	MIST1	Class A basic helix-loop-helix protein 15 	9606|10090|10116	168620|17341|25334	Q7RTS1|Q9QYC3|P70562	ENSG00000180535|ENSMUSG00000052271|ENSRNOG00000025164	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.2.3	Basic helix-loop-helix factors (bHLH)
BHLHA9	BHLHF42	Class A basic helix-loop-helix protein 9 	9606|10090|10116	727857|320522|363656	Q7RTU4|Q5RJB0|D3ZY30	ENSG00000205899|ENSMUSG00000044243|ENSRNOG00000022232	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.2.3	Basic helix-loop-helix factors (bHLH)
BHLHE22	CAGL85 Beta3	Class E basic helix-loop-helix protein 22 	9606|10090|10116	27319|59058|365748	Q8NFJ8|Q8C6A8|D4A287	ENSG00000180828|ENSMUSG00000025128|ENSRNOG00000021745	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.2.3	Basic helix-loop-helix factors (bHLH)
BHLHE23	bA305P22.3 Beta4	Class E basic helix-loop-helix protein 23 	9606|10090|10116	128408|140489|499952	Q8NDY6|Q8BGW3|D3ZU26	ENSG00000125533|ENSMUSG00000045493|ENSRNOG00000010312	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.2.3	Basic helix-loop-helix factors (bHLH)
